lemma	pos	attributes
gel	VERB	-
git	VERB	VOICING
kitap	NOUN	VOICING
göz	NOUN	-
oku	VERB	-
yaz	VERB	-
al	ADJ	-
ak	ADJ	-
kara	ADJ	-
tanrı	NOUN	-
bir	NUM	-
iki	NUM	-
üç	NUM	-
dört	NUM	VOICING
beş	NUM	-
altı	NUM	-
yedi	NUM	-
sekiz	NUM	-
dokuz	NUM	-
on	NUM	-
sıfır	NUM	-
yüz	NUM	-
bin	NUM	-
alçak	ADJ	VOICING
an	NOUN	-
ana	NOUN	-
baba	NOUN	-
dede	NOUN	-
ara	NOUN	-
baş	NOUN	-
ben	PRON	-
kişi	NOUN	-
bey	NOUN	-
bol	ADJ	-
boy	NOUN	-
boş	ADJ	-
bu	PRON	-
şu	PRON	-
o	PRON	-
buz	NOUN	-
su	NOUN	-
gök	NOUN	VOICING
can	NOUN	-
dar	ADJ	-
aç	VERB	-
at	VERB	-
bil	VERB	-
bul	VERB	-
böl	VERB	-
çiz	VERB	-
çöz	VERB	-
çık	VERB	VOICING
dal	VERB	-
del	VERB	-
dinle	VERB	-
dur	VERB	-
duy	VERB	-
düş	VERB	-
et	VERB	VOICING
geç	VERB	-
gez	VERB	-
gir	VERB	-
gör	VERB	-
gül	VERB	-
iç	VERB	-
in	VERB	-
kaç	VERB	-
kal	VERB	-
kalk	VERB	-
kır	VERB	-
koş	VERB	-
koy	VERB	-
kur	VERB	-
ol	VERB	-
öl	VERB	-
öp	VERB	-
ört	VERB	-
san	VERB	-
sat	VERB	-
seç	VERB	-
sev	VERB	-
sez	VERB	-
sık	VERB	-
sor	VERB	-
sun	VERB	-
sür	VERB	-
süz	VERB	-
şaş	VERB	-
tak	VERB	-
tap	VERB	-
tat	VERB	VOICING
tut	VERB	-
uç	VERB	-
uy	VERB	-
var	VERB	-
ver	VERB	-
vur	VERB	-
yan	VERB	-
yap	VERB	-
yay	VERB	-
yen	VERB	-
yık	VERB	-
yırt	VERB	-
ağaç	NOUN	VOICING
ağız	NOUN	-
akıl	NOUN	-
alın	NOUN	-
anne	NOUN	-
arka	NOUN	-
ayak	NOUN	VOICING
bacak	NOUN	VOICING
bağ	NOUN	-
bahçe	NOUN	-
bal	NOUN	-
balık	NOUN	VOICING
bardak	NOUN	VOICING
bebek	NOUN	VOICING
bel	NOUN	-
beyin	NOUN	-
bıçak	NOUN	VOICING
boyun	NOUN	-
burun	NOUN	-
cam	NOUN	-
canlı	NOUN	-
ceza	NOUN	-
çiçek	NOUN	VOICING
çocuk	NOUN	VOICING
dağ	NOUN	-
dal	NOUN	-
damar	NOUN	-
deniz	NOUN	-
deri	NOUN	-
dil	NOUN	-
diş	NOUN	-
doğa	NOUN	-
dudak	NOUN	VOICING
duvar	NOUN	-
el	NOUN	-
elma	NOUN	-
erkek	NOUN	VOICING
ev	NOUN	-
göğüs	NOUN	-
göl	NOUN	-
gün	NOUN	-
güneş	NOUN	-
haber	NOUN	-
hak	NOUN	-
halk	NOUN	-
hava	NOUN	-
hayvan	NOUN	-
ışık	NOUN	VOICING
insan	NOUN	-
ip	NOUN	-
iş	NOUN	-
kadın	NOUN	-
kalp	NOUN	VOICING
kan	NOUN	-
kapı	NOUN	-
kar	NOUN	-
karın	NOUN	-
kedi	NOUN	-
kemik	NOUN	VOICING
kız	NOUN	-
kol	NOUN	-
koku	NOUN	-
kök	NOUN	VOICING
köpek	NOUN	VOICING
köy	NOUN	-
kulak	NOUN	VOICING
kuş	NOUN	-
kutu	NOUN	-
kuvvet	NOUN	-
masa	NOUN	-
meyve	NOUN	-
mutfak	NOUN	VOICING
nehir	NOUN	-
oda	NOUN	-
oğul	NOUN	-
orman	NOUN	-
oyun	NOUN	-
omuz	NOUN	-
ömür	NOUN	-
para	NOUN	-
parmak	NOUN	VOICING
renk	NOUN	VOICING
resim	NOUN	-
sabah	NOUN	-
saç	NOUN	-
söz	NOUN	-
şehir	NOUN	-
şekil	NOUN	-
şey	NOUN	-
şişe	NOUN	-
süt	NOUN	-
tabak	NOUN	VOICING
taş	NOUN	-
toprak	NOUN	VOICING
top	NOUN	-
tuz	NOUN	-
ufuk	NOUN	VOICING
uyku	NOUN	-
vakit	NOUN	-
