lemma	pos	attributes
Abana	NOUN	-
Abaza	ADJ	-
Abaza	NOUN	-
Abazaca	ADJ	-
Abazaca	NOUN	-
Abbas	NOUN	-
Abdal	NOUN	-
Abhaz	NOUN	-
Abhazca	NOUN	-
Aborjin	NOUN	-
Abu Dabi	NOUN	-
Abuja	NOUN	-
Ac	NOUN	-
Acar	NOUN	-
Acara	NOUN	-
Acem	NOUN	-
Acemce	ADJ	-
Acemce	NOUN	-
Acemleş	VERB	-
Acemleştir	VERB	-
Acemleştiril	VERB	-
Acemleştirilme	NOUN	-
Acıgöl	NOUN	-
Acıpayam	NOUN	-
Adalar	NOUN	-
Adana	NOUN	-
Adapazarı	NOUN	-
Addis Ababa	NOUN	-
Adilcevaz	NOUN	-
Adıyaman	NOUN	-
Afgan	NOUN	-
Afganistan	NOUN	-
Afrika	NOUN	-
Afyon	NOUN	-
Afyonkarahisar	NOUN	-
Afşar	NOUN	-
Afşin	NOUN	-
Ag	NOUN	-
Agop	NOUN	-
Ahfeş	NOUN	-
Ahi	NOUN	-
Ahlat	NOUN	-
Akdağmadeni	NOUN	-
Akdeniz	NOUN	-
Akhisar	NOUN	-
Akkuş	NOUN	-
Akköy	NOUN	-
Akkışla	NOUN	-
Akpınar	NOUN	-
Akra	NOUN	-
Akrep	NOUN	-
Aksaray	NOUN	-
Akseki	NOUN	-
Aksu	NOUN	-
Akyaka	NOUN	-
Akyazı	NOUN	-
Akyurt	NOUN	-
Akçaabat	NOUN	-
Akçadağ	NOUN	-
Akçakale	NOUN	-
Akçakent	NOUN	-
Akçakoca	NOUN	-
Akören	NOUN	-
Akıncılar	NOUN	-
Akşehir	NOUN	-
Al	NOUN	-
Alaca	NOUN	-
Alacakaya	NOUN	-
Aladağ	NOUN	-
Alanya	NOUN	-
Alaçam	NOUN	-
Alaşehir	NOUN	-
Alevi	NOUN	-
Ali	NOUN	-
Aliağa	NOUN	-
Allah	NOUN	-
Allah!	NOUN	-
Allahualem	INTERJ	-
Allahualem	NOUN	-
Allahutaala	NOUN	-
Alman	NOUN	-
Almanca	ADJ	-
Almanca	NOUN	-
Almanlaş	VERB	-
Almanlaştır	VERB	-
Almansever	ADJ	-
Almanya	NOUN	-
Almus	NOUN	-
Alpu	NOUN	-
Altay	NOUN	-
Altayca	NOUN	-
Altayist	NOUN	-
Altayistik	NOUN	VOICING
Altunhisar	NOUN	-
Altıeylül	NOUN	-
Altıkardeş	NOUN	-
Altındağ	NOUN	-
Altınekin	NOUN	-
Altınordu	NOUN	-
Altınova	NOUN	-
Altıntaş	NOUN	-
Altınyayla	NOUN	-
Altınözü	NOUN	-
Alucra	NOUN	-
Am	NOUN	-
Amasra	NOUN	-
Amasya	NOUN	-
Amazonlar	NOUN	-
Amentü	NOUN	-
Amerika	NOUN	-
Amerikalılaş	VERB	-
Amerikan	ADJ	-
Amerikan	NOUN	-
Amerikanca	ADJ	-
Amerikanca	NOUN	-
Amerikanist	NOUN	-
Amerikanizm	NOUN	-
Amerikanvari	ADJ	-
Amman	NOUN	-
Amme	NOUN	-
Amsterdam	NOUN	-
Anadolu	NOUN	-
Anamur	NOUN	-
Andırın	NOUN	-
Anglikan	NOUN	-
Anglikanizm	NOUN	-
Anglofil	ADJ	-
Anglosakson	ADJ	-
Anglosakson	NOUN	-
Anka	NOUN	-
Ankara	NOUN	-
Antakya	NOUN	-
Antalya	NOUN	-
Antarktika	NOUN	-
Antep	NOUN	-
Anzak	NOUN	-
Anıtkabir	NOUN	-
Ar	NOUN	-
Araban	NOUN	-
Arabi	ADJ	-
Arabi	NOUN	-
Arabist	NOUN	-
Arabistik	NOUN	VOICING
Arabizasyon	NOUN	-
Arafat	NOUN	-
Aramca	NOUN	-
Arami	NOUN	-
Aramice	ADJ	-
Aramice	NOUN	-
Arap	ADJ	-
Arap	NOUN	-
Arapgir	NOUN	-
Araplaş	VERB	-
Araplaştır	VERB	-
Arapça	ADJ	-
Arapça	NOUN	-
Arapçalaştır	VERB	-
Araç	NOUN	-
Ardahan	NOUN	-
Ardanuç	NOUN	-
Ardeşen	NOUN	-
Arguvan	NOUN	-
Arhavi	NOUN	-
Ari	NOUN	-
Arifiye	NOUN	-
Aristotelesçi	ADJ	-
Arjantin	NOUN	-
Arktika	NOUN	-
Arnavut	NOUN	-
Arnavutköy	NOUN	-
Arnavutlaş	VERB	-
Arnavutlaştır	VERB	-
Arnavutluk	NOUN	-
Arnavutça	ADJ	-
Arnavutça	NOUN	-
Arpaçay	NOUN	-
Arsin	NOUN	-
Artova	NOUN	-
Artvin	NOUN	-
Aryanist	NOUN	-
Aryanizm	NOUN	-
Arıcak	NOUN	-
Arıkovanı	NOUN	-
As	NOUN	-
Asarcık	NOUN	-
Asena	NOUN	-
Ashabıkehf	NOUN	-
Aslan	NOUN	-
Aslanapa	NOUN	-
Asurca	ADJ	-
Asurca	NOUN	-
Asya	NOUN	-
At	NOUN	-
Atabey	NOUN	-
Atakum	NOUN	-
Atatürk	NOUN	-
Atatürkçü	ADJ	-
Ataşehir	NOUN	-
Atina	NOUN	-
Atkaracalar	NOUN	-
Au	NOUN	-
Avanos	NOUN	-
Avar	NOUN	-
Avarca	ADJ	-
Avarca	NOUN	-
Avcılar	NOUN	-
Avrasya	NOUN	-
Avrupa	NOUN	-
Avrupai	ADJ	-
Avrupalılaş	VERB	-
Avrupalılaştır	VERB	-
Avustralya	NOUN	-
Avusturya	NOUN	-
Avşar	NOUN	-
Ay	NOUN	-
Ayancık	NOUN	-
Ayaş	NOUN	-
Aybastı	NOUN	-
Aydın	NOUN	-
Aydıncık	NOUN	-
Aydınlar	NOUN	-
Aydıntepe	NOUN	-
Ayvacık	NOUN	-
Az	NOUN	-
Azdavay	NOUN	-
Azerbaycan	NOUN	-
Azeri	NOUN	-
Azerice	NOUN	-
Aziziye	NOUN	-
Azrail	NOUN	-
