lemma	pos	attributes
Abana	NOUN	-
Abaza	ADJ	-
Abaza	NOUN	-
Abazaca	ADJ	-
Abazaca	NOUN	-
Abbas	NOUN	-
Abdal	NOUN	-
Abhaz	NOUN	-
Abhazca	NOUN	-
Aborjin	NOUN	-
Ac	NOUN	-
Acar	NOUN	-
Acara	NOUN	-
Acarlık	NOUN	-
Acem	NOUN	-
Acemce	ADJ	-
Acemce	NOUN	-
Acemleş	VERB	-
Acemleşme	NOUN	-
Acemleştir	VERB	-
Acemleştiril	VERB	-
Acemleştirilme	NOUN	-
Acemleştirme	NOUN	-
Acıgöl	NOUN	-
Acıpayam	NOUN	-
Adaklı	NOUN	-
Adalar	NOUN	-
Adana	NOUN	-
Adanalı	NOUN	-
Adanalılık	NOUN	VOICING
Adapazarı	NOUN	-
Adilcevaz	NOUN	-
Adıyaman	NOUN	-
Adıyamanlı	NOUN	-
Adıyamanlılık	NOUN	VOICING
Afgan	NOUN	-
Afganlı	NOUN	-
Afrika	NOUN	-
Afrikalı	ADJ	-
Afrikalı	NOUN	-
Afrikalılık	NOUN	VOICING
Afyon	NOUN	-
Afyonkarahisar	NOUN	-
Afyonkarahisarlı	NOUN	-
Afyonkarahisarlılık	NOUN	VOICING
Afşar	NOUN	-
Afşin	NOUN	-
Ag	NOUN	-
Agop	NOUN	-
Ahfeş	NOUN	-
Ahi	NOUN	-
Ahilik	NOUN	VOICING
Ahlat	NOUN	-
Ahmetli	NOUN	-
Ahırlı	NOUN	-
Akdağmadeni	NOUN	-
Akdeniz	NOUN	-
Akhisar	NOUN	-
Akkuş	NOUN	-
Akköy	NOUN	-
Akkışla	NOUN	-
Akpınar	NOUN	-
Akrep	NOUN	-
Aksaray	NOUN	-
Aksaraylı	NOUN	-
Aksaraylılık	NOUN	VOICING
Akseki	NOUN	-
Aksu	NOUN	-
Akyaka	NOUN	-
Akyazı	NOUN	-
Akyurt	NOUN	-
Akçaabat	NOUN	-
Akçadağ	NOUN	-
Akçakale	NOUN	-
Akçakent	NOUN	-
Akçakoca	NOUN	-
Akören	NOUN	-
Akıncılar	NOUN	-
Akşehir	NOUN	-
Al	NOUN	-
Alaca	NOUN	-
Alacakaya	NOUN	-
Aladağ	NOUN	-
Alanya	NOUN	-
Alaplı	NOUN	-
Alayuntlu	NOUN	-
Alaçam	NOUN	-
Alaşehir	NOUN	-
Alevi	NOUN	-
Alevilik	NOUN	VOICING
Ali	NOUN	-
Aliağa	NOUN	-
Alkaevli	NOUN	-
Allah	NOUN	-
Allah!	NOUN	-
Allahlık	ADJ	-
Allahsız	ADJ	-
Allahsızlık	NOUN	VOICING
Allahualem	INTERJ	-
Allahualem	NOUN	-
Allahutaala	NOUN	-
Alman	NOUN	-
Almanca	ADJ	-
Almanca	NOUN	-
Almancı	NOUN	-
Almancılık	NOUN	VOICING
Almanlaş	VERB	-
Almanlaşma	NOUN	-
Almanlaştır	VERB	-
Almanlaştırma	NOUN	-
Almanlık	NOUN	VOICING
Almansever	ADJ	-
Almanyalı	NOUN	-
Almus	NOUN	-
Alpu	NOUN	-
Altay	NOUN	-
Altayca	NOUN	-
Altayist	NOUN	-
Altayistik	NOUN	VOICING
Altunhisar	NOUN	-
Altıeylül	NOUN	-
Altıkardeş	NOUN	-
Altındağ	NOUN	-
Altınekin	NOUN	-
Altınordu	NOUN	-
Altınova	NOUN	-
Altıntaş	NOUN	-
Altınyayla	NOUN	-
Altınözü	NOUN	-
Alucra	NOUN	-
Am	NOUN	-
Amasra	NOUN	-
Amasya	NOUN	-
Amasyalı	NOUN	-
Amasyalılık	NOUN	VOICING
Amazonlar	NOUN	-
Amentü	NOUN	-
Amerika	NOUN	-
Amerikalı	NOUN	-
Amerikalılaş	VERB	-
Amerikalılaşma	NOUN	-
Amerikalılık	NOUN	VOICING
Amerikan	ADJ	-
Amerikanca	ADJ	-
Amerikanca	NOUN	-
Amerikancı	ADJ	-
Amerikancılık	NOUN	VOICING
Amerikanist	NOUN	-
Amerikanizm	NOUN	-
Amerikanvari	ADJ	-
Amme	NOUN	-
Anadolu	NOUN	-
Anadolulu	NOUN	-
Anadolululuk	NOUN	VOICING
Anamur	NOUN	-
Andırın	NOUN	-
Anglikan	NOUN	-
Anglikanizm	NOUN	-
Anglikanlık	NOUN	VOICING
Anglofil	ADJ	-
Anglosakson	ADJ	-
Anglosakson	NOUN	-
Angolalı	NOUN	-
Anka	NOUN	-
Ankara	NOUN	-
Ankaralı	NOUN	-
Ankaralılık	NOUN	VOICING
Antakya	NOUN	-
Antalya	NOUN	-
Antalyalı	NOUN	-
Antalyalılık	NOUN	VOICING
Antarktika	NOUN	-
Antep	NOUN	-
Antepli	ADJ	-
Anteplilik	NOUN	VOICING
Anzak	NOUN	-
Anıtkabir	NOUN	-
Ar	NOUN	-
Araban	NOUN	-
Arabi	ADJ	-
Arabi	NOUN	-
Arabist	NOUN	-
Arabistanlı	NOUN	-
Arabistik	NOUN	VOICING
Arabizasyon	NOUN	-
Arafat	NOUN	-
Araklı	NOUN	-
Aralık	NOUN	-
Aramca	NOUN	-
Arami	NOUN	-
Aramice	ADJ	-
Aramice	NOUN	-
Arap	ADJ	-
Arap	NOUN	-
Arapgir	NOUN	-
Araplaş	VERB	-
Araplaşma	NOUN	-
Araplaştır	VERB	-
Araplaştırma	NOUN	-
Araplık	NOUN	VOICING
Arapça	ADJ	-
Arapça	NOUN	-
Arapçalaştır	VERB	-
Arapçalaştırma	NOUN	-
Arapçalaştırmak	NOUN	-
Araç	NOUN	-
Ardahan	NOUN	-
Ardahanlı	NOUN	-
Ardahanlılık	NOUN	VOICING
Ardanuç	NOUN	-
Ardeşen	NOUN	-
Arguvan	NOUN	-
Arhavi	NOUN	-
Ari	NOUN	-
Arifiye	NOUN	-
Aristocu	ADJ	-
Aristoculuk	NOUN	VOICING
Aristotelesçi	ADJ	-
